time,closedPnl,coin,crossed,dir,fee,feeToken,hash,oid,px,side,startPosition,sz,tid,liquidation
2024-04-27 10:52:46.292,13.50514,BTC,True,Close Short,1.650134,USDC,0x32d3c35f096aaf1c701d0408a74b5f020157004801232a42366ade394b82661c,20491673416,62802.0,B,-0.0782,0.0782,685033104949794,
2024-04-27 08:12:58.588,0.0,BTC,True,Open Short,0.048686,USDC,0x201023703453337d2cb10408a6ec460142008d38ac6d57e81234c1613df34d70,20482059162,63000.0,A,-0.0759,0.0023,75870802913259,
2024-04-27 08:11:42.199,0.0,BTC,True,Open Short,1.605987,USDC,0xa6ab05021d0cb67a2d830408a6eb7b02026b009f3203657c01ba7bf5ab6beda9,20481978808,62974.0,A,0.0,0.0759,57368611981827,
2024-04-27 00:38:38.490,20.251314,BTC,True,Close Short,2.279973,USDC,0x4a22c3124a60b5bfc6f30408a5cbab011d00fe6546217a2606c23b4518760ce1,20438218592,63429.0,B,-0.10698,0.10698,182795344179238,
2024-04-26 17:34:48.056,0.0,BTC,True,Open Short,0.023854,USDC,0x79191bbec18a9c82b32e0408a4b6ea0201fa0042559262eb2bdf8a438ec965b1,20409758310,63961.0,A,-0.10587,0.00111,754041559910759,
2024-04-26 17:34:17.407,0.0,BTC,True,Open Short,0.02385,USDC,0xf5fcabc94b063228c0fc0408a4b68e020174008c2d7b5ce7efc755e85d0e53fc,20409702671,63951.0,A,-0.10476,0.00111,314649309130283,
2024-04-26 17:34:02.579,0.0,BTC,True,Open Short,0.023819,USDC,0x13a2bd7e5d21c3001a6d0408a4b6670202950020b1a6879ca2275c6b66326a43,20409653415,63868.0,A,-0.10365,0.00111,534448813130901,
2024-04-26 17:33:57.082,0.0,BTC,True,Open Short,0.023819,USDC,0x3799cf03fab9115e72630408a4b65601a200e121d0973c1a5b99ebbf6d9683f1,20409644500,63868.0,A,-0.10254,0.00111,921604392638785,
2024-04-26 17:33:53.705,0.0,BTC,True,Open Short,0.023816,USDC,0xc5fb414fb0994a224e780408a4b64d019a00cdfe5de6227b7adcd7641065d251,20409641705,63861.0,A,-0.10143,0.00111,128246420454635,
2024-04-26 17:33:45.434,0.0,BTC,True,Open Short,0.023816,USDC,0x04160d65f04ed1bda91f0408a4b638011f007da9689f815de23d82c3b3110798,20409629841,63861.0,A,-0.10032,0.00111,542344487246698,
2024-04-26 17:07:49.145,0.0,BTC,True,Open Short,0.106848,USDC,0xf21941ba8bf0ee9fe87f0408a4a5bc01b300eefb80848db58d3ffee576ed6a5b,20407217746,63600.0,A,-0.09532,0.005,140487330032984,
2024-04-26 17:07:10.835,0.0,BTC,True,Open Short,2.03695,USDC,0xb35b14c0057289fe20b30408a4a553013d009cf88030aba596b64c87b4a5f6b8,20407172627,63600.0,A,0.0,0.09532,534522755053477,
2024-04-26 15:12:28.779,8.176902,BTC,True,Close Short,1.251145,USDC,0xb5518a10291636d1176a0408a45d9d02027600d7ffe626b77986eb02aad80ba4,20392720852,63663.0,B,-0.05849,0.05849,575890993753947,
2024-04-26 15:12:28.779,0.1398,BTC,True,Close Short,0.02139,USDC,0xb5518a10291636d1176a0408a45d9d02027600d7ffe626b77986eb02aad80ba4,20392720852,63663.0,B,-0.05949,0.001,16263883536573,
2024-04-26 14:59:09.554,0.0,BTC,True,Open Short,0.288962,USDC,0x24fe66bd26d2b11bd2210408a455b70201540049cf3a07a1c9909ba5dbcc619f,20389951517,63799.0,A,-0.04601,0.01348,84655092884457,
